algorithm,descriptors,training_set,word_embedding,top1,top2,top3,top4,top5,MRR,time,zeros
custom,atm,standard,glove,37.0,65.0,82.0,91.0,99.0,0.5491993550410066,1.7909519672393799,-1.0
atm_0,union,standard,glove,30.0,59.0,76.0,84.0,88.0,0.5014685458219942,1.7953517436981201,-1.0
atm_0,intersection,standard,glove,35.0,63.0,77.0,91.0,94.0,0.5441494873720558,1.775170087814331,-1.0
atm_0,craftdroid,standard,glove,25.0,58.0,74.0,82.0,87.0,0.4787142040590317,1.7834079265594482,-1.0
atm_0,atm,standard,glove,42.0,69.0,81.0,93.0,95.0,0.5825998608019267,1.7653748989105225,-1.0
adaptdroid_0,union,standard,glove,30.0,46.0,64.0,73.0,77.0,0.45284890662249233,1.8028488159179688,-1.0
adaptdroid_0,intersection,standard,glove,27.0,50.0,63.0,69.0,80.0,0.4460624129261526,1.7888178825378418,-1.0
adaptdroid_0,craftdroid,standard,glove,34.0,45.0,63.0,72.0,77.0,0.46501388068308114,1.7990078926086426,-1.0
adaptdroid_0,atm,standard,glove,29.0,52.0,67.0,70.0,83.0,0.4652181596464688,1.7741591930389404,-1.0
craftdroid,union,googleplay,glove,27.0,51.0,62.0,73.0,80.0,0.4488508019758021,2.018038034439087,-1.0
craftdroid,intersection,googleplay,glove,25.0,56.0,65.0,81.0,84.0,0.46069017166135157,2.015768051147461,-1.0
craftdroid,craftdroid,googleplay,glove,26.0,51.0,62.0,73.0,81.0,0.44750296399003314,2.020261764526367,-1.0
craftdroid,atm,googleplay,glove,29.0,58.0,66.0,81.0,84.0,0.4757558531063435,2.0151119232177734,-1.0
custom,union,googleplay,glove,46.0,70.0,80.0,93.0,99.0,0.5898567907188598,1.787909984588623,-1.0
custom,intersection,googleplay,glove,31.0,60.0,73.0,82.0,87.0,0.5025215337497224,1.7700450420379639,-1.0
custom,craftdroid,googleplay,glove,43.0,65.0,79.0,90.0,94.0,0.5719568865043004,1.8564999103546143,-1.0
custom,atm,googleplay,glove,35.0,64.0,79.0,89.0,94.0,0.5314621612643811,2.058763027191162,-1.0
atm_0,union,googleplay,glove,29.0,65.0,75.0,81.0,88.0,0.5122286430355257,1.8293650150299072,-1.0
